OUTLOOK HUMIDITY WINDSPEED TEMPERATURE Flight_Status\
CLEAR LOW LOW LOW ON_TIME\
CLEAR HIGH LOW LOW ON_TIME\
CLEAR HIGH HIGH LOW DELAYED\
CLEAR HIGH HIGH HIGH DELAYED\
CLEAR LOW HIGH LOW DELAYED\
CLEAR LOW LOW HIGH ON_TIME\
CLEAR LOW HIGH HIGH DELAYED\
CLEAR HIGH LOW HIGH ON_TIME\
OVER_CAST LOW LOW LOW ON_TIME\
OVER_CAST HIGH LOW LOW DELAYED\
OVER_CAST HIGH HIGH LOW DELAYED\
OVER_CAST HIGH HIGH HIGH DELAYED\
OVER_CAST LOW HIGH LOW DELAYED\
OVER_CAST LOW LOW HIGH ON_TIME\
OVER_CAST LOW HIGH HIGH DELAYED\
OVER_CAST HIGH LOW HIGH ON_TIME\
CLOUDY LOW LOW LOW ON_TIME\
CLOUDY HIGH LOW LOW ON_TIME\
CLOUDY HIGH HIGH LOW DELAYED\
CLOUDY HIGH HIGH HIGH DELAYED\
CLOUDY LOW HIGH LOW DELAYED\
CLOUDY LOW LOW HIGH ON_TIME\
CLOUDY LOW HIGH HIGH DELAYED\
CLOUDY HIGH LOW HIGH DELAYED\
